,name,method,bar,kind,bands,link,paper_name,cr,err_cr_l,err_cr_r,cr_l,cr_r,err_range,altname,r25,r25_NED
75,UGC2141,F-B,False,ISM,"Halpha, HI",,F-B works,47.9,1.1,1.1,46.8,49.0,2.2,NGC 1012,63.113353192994246,75.35
76,UGC2141,F-B,False,ISM,"Halpha, HI",,F-B works,61.6,1.8,1.8,59.8,63.4,3.6,NGC 1012,63.113353192994246,75.35
77,UGC2141,F-B,False,ISM,"Halpha, HI",,F-B works,70.2,2.2,2.2,68.0,72.4,4.4,NGC 1012,63.113353192994246,75.35
78,UGC2193,F-B,False,ISM,"Halpha, HI",,F-B works,26.6,4.6,4.6,22.0,31.200000000000003,9.2,NGC 1058,73.98118011703016,90.6
79,UGC2193,F-B,False,ISM,"Halpha, HI",,F-B works,47.6,1.7,1.7,45.9,49.3,3.4,NGC 1058,73.98118011703016,90.6
80,UGC2193,F-B,False,ISM,"Halpha, HI",,F-B works,55.6,1.7,1.7,53.9,57.3,3.4,NGC 1058,73.98118011703016,90.6
81,UGC2855,F-B,False,ISM,"Halpha, HI",,F-B works,11.5,1.7,1.7,9.8,13.2,3.4,UGC 02855,106.1992023250304,130.95
82,UGC2855,F-B,False,ISM,"Halpha, HI",,F-B works,41.2,6.4,6.4,34.800000000000004,47.6,12.8,UGC 02855,106.1992023250304,130.95
83,UGC2855,F-B,False,ISM,"Halpha, HI",,F-B works,70.4,6.3,6.3,64.10000000000001,76.7,12.6,UGC 02855,106.1992023250304,130.95
84,UGC2855,F-B,False,ISM,"Halpha, HI",,F-B works,95.5,5.9,5.9,89.6,101.4,11.8,UGC 02855,106.1992023250304,130.95
85,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,9.0,2.4,2.4,6.6,11.4,4.8,NGC 1530,54.5910257582995,137.15
86,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,43.6,1.5,1.5,42.1,45.1,3.0,NGC 1530,54.5910257582995,137.15
87,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,53.2,3.7,3.7,49.5,56.900000000000006,7.4,NGC 1530,54.5910257582995,137.15
88,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,67.9,2.6,2.6,65.30000000000001,70.5,5.2,NGC 1530,54.5910257582995,137.15
89,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,76.5,3.2,3.2,73.3,79.7,6.4,NGC 1530,54.5910257582995,137.15
90,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,86.9,2.8,2.8,84.10000000000001,89.7,5.6,NGC 1530,54.5910257582995,137.15
91,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,100.1,2.7,2.7,97.4,102.8,5.4,NGC 1530,54.5910257582995,137.15
92,UGC3273,F-B,False,ISM,"Halpha, HI",,F-B works,7.4,3.2,3.2,4.2,10.6,6.4,UGC 03273,75.35659294528739,58.5
93,UGC3273,F-B,False,ISM,"Halpha, HI",,F-B works,31.9,3.7,3.7,28.2,35.6,7.4,UGC 03273,75.35659294528739,58.5
94,UGC3273,F-B,False,ISM,"Halpha, HI",,F-B works,73.9,4.4,4.4,69.5,78.30000000000001,8.8,UGC 03273,75.35659294528739,58.5
95,UGC3273,F-B,False,ISM,"Halpha, HI",,F-B works,99.4,6.3,6.3,93.1,105.7,12.6,UGC 03273,75.35659294528739,58.5
96,UGC3463,F-B,False,ISM,"Halpha, HI",,F-B works,8.9,3.8,3.8,5.1000000000000005,12.7,7.6,IC 2166,66.08779389160367,90.6
97,UGC3463,F-B,False,ISM,"Halpha, HI",,F-B works,21.7,4.4,4.4,17.299999999999997,26.1,8.8,IC 2166,66.08779389160367,90.6
98,UGC3463,F-B,False,ISM,"Halpha, HI",,F-B works,45.5,7.6,7.6,37.9,53.1,15.2,IC 2166,66.08779389160367,90.6
99,UGC3463,F-B,False,ISM,"Halpha, HI",,F-B works,68.7,5.1,5.1,63.6,73.8,10.2,IC 2166,66.08779389160367,90.6
100,UGC3574,F-B,False,ISM,"Halpha, HI",,F-B works,5.4,1.9,1.9,3.5000000000000004,7.300000000000001,3.8,UGC 03574,44.37325164504622,125.05
101,UGC3574,F-B,False,ISM,"Halpha, HI",,F-B works,16.8,3.0,3.0,13.8,19.8,6.0,UGC 03574,44.37325164504622,125.05
102,UGC3574,F-B,False,ISM,"Halpha, HI",,F-B works,42.6,7.4,7.4,35.2,50.0,14.8,UGC 03574,44.37325164504622,125.05
103,UGC3685,F-B,False,ISM,"Halpha, HI",,F-B works,16.8,1.3,1.3,15.5,18.1,2.6,UGC 03685,56.770308559349246,99.35
104,UGC3685,F-B,False,ISM,"Halpha, HI",,F-B works,27.7,1.7,1.7,26.0,29.4,3.4,UGC 03685,56.770308559349246,99.35
105,UGC3685,F-B,False,ISM,"Halpha, HI",,F-B works,49.5,1.4,1.4,48.1,50.9,2.8,UGC 03685,56.770308559349246,99.35
106,UGC3685,F-B,False,ISM,"Halpha, HI",,F-B works,55.7,1.9,1.9,53.8,57.6,3.8,UGC 03685,56.770308559349246,99.35
107,UGC3691,F-B,False,ISM,"Halpha, HI",,F-B works,10.3,2.3,2.3,8.0,12.6,4.6,UGC 03691,60.55099091044682,65.65
108,UGC3691,F-B,False,ISM,"Halpha, HI",,F-B works,24.3,2.4,2.4,21.9,26.7,4.8,UGC 03691,60.55099091044682,65.65
109,UGC3691,F-B,False,ISM,"Halpha, HI",,F-B works,42.0,2.0,2.0,40.0,44.0,4.0,UGC 03691,60.55099091044682,65.65
110,UGC3691,F-B,False,ISM,"Halpha, HI",,F-B works,54.2,2.3,2.3,51.900000000000006,56.5,4.6,UGC 03691,60.55099091044682,65.65
111,UGC3709,F-B,False,ISM,"Halpha, HI",,F-B works,7.9,1.5,1.5,6.4,9.4,3.0,NGC 2342,35.24692664818589,41.4
112,UGC3709,F-B,False,ISM,"Halpha, HI",,F-B works,19.6,1.5,1.5,18.1,21.1,3.0,NGC 2342,35.24692664818589,41.4
113,UGC3709,F-B,False,ISM,"Halpha, HI",,F-B works,24.6,1.7,1.7,22.9,26.3,3.4,NGC 2342,35.24692664818589,41.4
114,UGC3734,F-B,False,ISM,"Halpha, HI",,F-B works,17.6,1.3,1.3,16.3,18.9,2.6,NGC 2344,61.96140467431587,50.95
115,UGC3734,F-B,False,ISM,"Halpha, HI",,F-B works,34.8,1.9,1.9,32.9,36.7,3.8,NGC 2344,61.96140467431587,50.95
116,UGC3734,F-B,False,ISM,"Halpha, HI",,F-B works,41.9,1.7,1.7,40.2,43.6,3.4,NGC 2344,61.96140467431587,50.95
117,UGC3734,F-B,False,ISM,"Halpha, HI",,F-B works,64.3,1.7,1.7,62.6,66.0,3.4,NGC 2344,61.96140467431587,50.95
118,UGC3740,F-B,False,ISM,"Halpha, HI",,F-B works,47.5,1.8,1.8,45.7,49.3,3.6,NGC 2276,66.85305447810913,84.55
119,UGC3740,F-B,False,ISM,"Halpha, HI",,F-B works,61.3,2.2,2.2,59.1,63.5,4.4,NGC 2276,66.85305447810913,84.55
120,UGC3740,F-B,False,ISM,"Halpha, HI",,F-B works,69.8,1.8,1.8,68.0,71.6,3.6,NGC 2276,66.85305447810913,84.55
121,UGC3740,F-B,False,ISM,"Halpha, HI",,F-B works,81.5,1.5,1.5,80.0,83.0,3.0,NGC 2276,66.85305447810913,84.55
122,UGC3740,F-B,False,ISM,"Halpha, HI",,F-B works,89.6,1.5,1.5,88.1,91.1,3.0,NGC 2276,66.85305447810913,84.55
123,UGC3809,F-B,False,ISM,"Halpha, HI",,F-B works,35.4,1.8,1.8,33.6,37.2,3.6,NGC 2336,150.35617008818167,212.4
124,UGC3809,F-B,False,ISM,"Halpha, HI",,F-B works,62.0,4.9,4.9,57.1,66.9,9.8,NGC 2336,150.35617008818167,212.4
125,UGC3809,F-B,False,ISM,"Halpha, HI",,F-B works,82.5,2.9,2.9,79.6,85.4,5.8,NGC 2336,150.35617008818167,212.4
126,UGC3809,F-B,False,ISM,"Halpha, HI",,F-B works,91.9,2.1,2.1,89.80000000000001,94.0,4.2,NGC 2336,150.35617008818167,212.4
127,UGC3809,F-B,False,ISM,"Halpha, HI",,F-B works,107.3,3.1,3.1,104.2,110.4,6.2,NGC 2336,150.35617008818167,212.4
128,UGC3809,F-B,False,ISM,"Halpha, HI",,F-B works,119.9,3.6,3.6,116.3,123.5,7.2,NGC 2336,150.35617008818167,212.4
129,UGC3809,F-B,False,ISM,"Halpha, HI",,F-B works,128.4,2.5,2.5,125.9,130.9,5.0,NGC 2336,150.35617008818167,212.4
130,UGC3826,F-B,False,ISM,"Halpha, HI",,F-B works,13.9,1.8,1.8,12.1,15.7,3.6,UGC 03826,97.7510103006026,104.0
131,UGC3826,F-B,False,ISM,"Halpha, HI",,F-B works,39.2,1.4,1.4,37.8,40.6,2.8,UGC 03826,97.7510103006026,104.0
132,UGC3876,F-B,False,ISM,"Halpha, HI",,F-B works,33.9,2.2,2.2,31.7,36.1,4.4,UGC 03876,56.770308559349246,67.15
133,UGC3876,F-B,False,ISM,"Halpha, HI",,F-B works,59.1,3.0,3.0,56.1,62.1,6.0,UGC 03876,56.770308559349246,67.15
134,UGC3915,F-B,False,ISM,"Halpha, HI",,F-B works,15.3,2.3,2.3,13.0,17.6,4.6,IC 2199,30.911583613248474,32.9
135,UGC4165,F-B,False,ISM,"Halpha, HI",,F-B works,16.4,1.2,1.2,15.2,17.599999999999998,2.4,NGC 2500,73.98118011703016,86.5
136,UGC4165,F-B,False,ISM,"Halpha, HI",,F-B works,25.6,1.6,1.6,24.0,27.200000000000003,3.2,NGC 2500,73.98118011703016,86.5
137,UGC4165,F-B,False,ISM,"Halpha, HI",,F-B works,48.9,2.0,2.0,46.9,50.9,4.0,NGC 2500,73.98118011703016,86.5
