,name,objname,incl,False
436,NGC 5427,NGC5427,24.15,False
437,NGC 5430,NGC5430,50.25,False
438,NGC 5483,NGC5483,26.32,False
439,NGC 5530,NGC5530,66.31,False
440,NGC 5572,NGC5572,36.79,False
441,NGC 5585,NGC5585,53.12,False
442,NGC 5622,NGC5622,58.23,False
443,NGC 5625,NGC5625,40.13,False
444,NGC 5643,NGC5643,29.59,False
445,NGC 5660,NGC5660,23.48,False
446,NGC 5668,NGC5668,33.05,False
447,NGC 5676,NGC5676,66.21,False
448,NGC 5678,NGC5678,61.63,False
449,NGC 5686,NGC5686,19.59,False
450,NGC 5701,NGC5701,40.53,False
451,NGC 5713,NGC5713,48.18,False
452,NGC 5727,NGC5727,90,False
453,NGC 5768,NGC5768,41.73,False
454,NGC 5850,NGC5850,46.92,False
455,NGC 5874,NGC5874,50.36,False
456,NGC 5879,NGC5879,72.67,False
457,NGC 5905,NGC5905,37.5,False
458,NGC 5921,NGC5921,49.45,False
459,NGC 5947,NGC5947,47.25,False
460,NGC 5949,NGC5949,69.08,False
461,NGC 5962,NGC5962,51.44,False
462,NGC 5964,NGC5964,42.02,False
463,NGC 5970,NGC5970,47.91,False
464,NGC 5971,NGC5971,73.19,False
465,NGC 5985,NGC5985,63.29,False
466,NGC 6015,NGC6015,65.71,False
467,NGC 6035,NGC6035,29.91,False
468,NGC 6140,NGC6140,32.25,False
469,NGC 6181,NGC6181,68.27,False
470,NGC 6207,NGC6207,64.65,False
471,NGC 6215,NGC6215,27.37,False
472,NGC 6217,NGC6217,44.78,False
473,NGC 6221,NGC6221,50.86,False
474,NGC 6236,NGC6236,55.18,False
475,NGC 6248,NGC6237,52.67,False
476,NGC 6278,NGC6278,78.77,False
477,NGC 6283,NGC6283,28.63,False
478,NGC 6300,NGC6300,52.69,False
479,NGC 6308,NGC6308,37.55,False
480,NGC 6384,NGC6384,66.58,False
481,NGC 6412,NGC6412,31.11,False
482,NGC 6427,NGC6427,90,False
483,NGC 6497,NGC6497,67.1,False
484,NGC 6503,NGC6503,73.52,False
485,NGC 6643,NGC6643,62.72,False
486,NGC 6744,NGC6744,53.51,False
487,NGC 6753,NGC6753,30.4,False
488,NGC 6764,NGC6764,63.88,False
489,NGC 6782,NGC6782,57.43,False
490,NGC 6814,NGC6814,85.62,False
491,NGC 6902,NGC6902,40.2,False
492,NGC 6907,NGC6907,37.46,False
493,NGC 6912,NGC6912,38.23,False
494,NGC 6941,NGC6941,48.06,False
495,NGC 6945,NGC6945,65.54,False
496,NGC 6946,NGC6946,18.26,False
497,NGC 6951,NGC6951,50.84,False
498,NGC 7079,NGC7079,60.7,False
499,NGC 7083,NGC7083,58.62,False
500,NGC 7098,NGC7098,65.35,False
501,NGC 7177,NGC7177,49.51,False
502,NGC 7205,NGC7205,65.66,False
503,NGC 7213,NGC7213,39.09,False
504,NGC 7217,NGC7217,33.42,False
505,NGC 7321,NGC7321,48.71,False
506,NGC 7331,NGC7331,69.96,False
507,NGC 7412,NGC7412,44.19,False
508,NGC 7418,NGC7418,40.02,False
509,NGC 7440,NGC7440,38.94,False
510,NGC 7456,NGC7456,72.8,False
511,NGC 7479,NGC7479,43.04,False
512,NGC 7496,NGC7496,52.8,False
513,NGC 7552,NGC7552,23.63,False
514,NGC 7563,NGC7563,58.09,False
515,NGC 7582,NGC7582,68.02,False
516,NGC 7591,NGC7591,66.91,False
517,NGC 7713,NGC7713,65.93,False
518,NGC 7723,NGC7723,47.21,False
519,NGC 7727,NGC7727,43.35,False
520,NGC 7741,NGC7741,50.14,False
521,NGC 7743,NGC7743,37.1,False
522,NGC 7753,NGC7753,82.11,False
523,NGC 7793,NGC7793,63.48,False
524,NGC 7819,NGC7819,59.79,False
525,SBS 0927+493,PGC027014,54.19,False
526,UGC 00978,IC0107,33.91,False
527,UGC 01014,UGC01014,50.03,False
528,UGC 01285,UGC01285,43.33,False
529,UGC 01333,UGC01333,44.49,False
530,UGC 01593,UGC01593,43.89,False
531,UGC 02311,UGC02311,51.23,False
532,UGC 02705,UGC02705,62.47,False
533,UGC 02855,UGC02855,68.23,False
534,UGC 03253,UGC03253,60.74,False
535,UGC 03273,UGC03273,90,False
536,UGC 03574,UGC03574,21.85,False
537,UGC 03685,UGC03685,55.44,False
538,UGC 03691,UGC03691,61.82,False
539,UGC 03825,UGC03825,23.75,False
540,UGC 03826,UGC03826,29.77,False
541,UGC 03871,UGC03871,54.69,False
542,UGC 03876,UGC03876,61.41,False
543,UGC 03907,UGC03907,58.1,False
544,UGC 03944,UGC03944,72.11,False
545,UGC 03949,UGC03949,24.36,False
546,UGC 04058,UGC04058,45.79,False
547,UGC 04099,UGC04099,41.3,False
548,UGC 04270,UGC04270,56.11,False
549,UGC 04300,UGC04300,36.75,False
550,UGC 04374,UGC04374,38.13,False
551,UGC 04500,UGC04500,41.48,False
552,UGC 04542,UGC04542,33.57,False
553,UGC 04578,UGC04578,52.48,False
554,UGC 04596,UGC04596,68.88,False
555,UGC 04643,UGC04643,36.41,False
556,UGC 04771,UGC04771,54.3,False
557,UGC 04973,UGC04973,19.02,False
558,UGC 05016,UGC05016,64.54,False
559,UGC 05055,UGC05055,22.07,False
560,UGC 05153,UGC05153,22.13,False
561,UGC 05228,UGC05228,82.1,False
562,UGC 05380,UGC05380,55.96,False
563,UGC 05476,UGC05476,37.37,False
564,UGC 05493,UGC05493,41.21,False
565,UGC 05521,UGC05521,34.32,False
566,UGC 05736,UGC05736,43.23,False
567,UGC 05859,UGC05859,60.77,False
568,UGC 05885,UGC05885,58.92,False
569,UGC 05892,UGC05892,38.04,False
570,UGC 06002,UGC06002,25.28,False
571,UGC 06015,UGC06015,38.22,False
572,UGC 06053,UGC06053,33.24,False
