,name,method,bar,kind,bands,link,paper_name,cr,err_cr_l,err_cr_r,cr_l,cr_r,err_range,altname,r25,r25_NED
92,UGC3273,F-B,False,ISM,"Halpha, HI",,F-B works,7.40,3.20,3.20,4.20,10.60,6.40,UGC 03273,75.36,58.50
93,UGC3273,F-B,False,ISM,"Halpha, HI",,F-B works,31.90,3.70,3.70,28.20,35.60,7.40,UGC 03273,75.36,58.50
94,UGC3273,F-B,False,ISM,"Halpha, HI",,F-B works,73.90,4.40,4.40,69.50,78.30,8.80,UGC 03273,75.36,58.50
95,UGC3273,F-B,False,ISM,"Halpha, HI",,F-B works,99.40,6.30,6.30,93.10,105.70,12.60,UGC 03273,75.36,58.50
96,UGC3463,F-B,False,ISM,"Halpha, HI",,F-B works,8.90,3.80,3.80,5.10,12.70,7.60,IC 2166,66.09,90.60
97,UGC3463,F-B,False,ISM,"Halpha, HI",,F-B works,21.70,4.40,4.40,17.30,26.10,8.80,IC 2166,66.09,90.60
98,UGC3463,F-B,False,ISM,"Halpha, HI",,F-B works,45.50,7.60,7.60,37.90,53.10,15.20,IC 2166,66.09,90.60
99,UGC3463,F-B,False,ISM,"Halpha, HI",,F-B works,68.70,5.10,5.10,63.60,73.80,10.20,IC 2166,66.09,90.60
100,UGC3574,F-B,False,ISM,"Halpha, HI",,F-B works,5.40,1.90,1.90,3.50,7.30,3.80,UGC 03574,44.37,125.05
101,UGC3574,F-B,False,ISM,"Halpha, HI",,F-B works,16.80,3.00,3.00,13.80,19.80,6.00,UGC 03574,44.37,125.05
102,UGC3574,F-B,False,ISM,"Halpha, HI",,F-B works,42.60,7.40,7.40,35.20,50.00,14.80,UGC 03574,44.37,125.05
103,UGC3685,F-B,False,ISM,"Halpha, HI",,F-B works,16.80,1.30,1.30,15.50,18.10,2.60,UGC 03685,56.77,99.35
104,UGC3685,F-B,False,ISM,"Halpha, HI",,F-B works,27.70,1.70,1.70,26.00,29.40,3.40,UGC 03685,56.77,99.35
105,UGC3685,F-B,False,ISM,"Halpha, HI",,F-B works,49.50,1.40,1.40,48.10,50.90,2.80,UGC 03685,56.77,99.35
106,UGC3685,F-B,False,ISM,"Halpha, HI",,F-B works,55.70,1.90,1.90,53.80,57.60,3.80,UGC 03685,56.77,99.35
